"Step","Task","Target date","Notes"
"1","Take a full-length SAT diagnostic (timed; realistic conditions)","",""
"2","Take a full-length ACT diagnostic (timed; realistic conditions)","",""
"3","Review diagnostics: label misses as content vs timing vs careless","",""
"4","Choose SAT or ACT based on best improvement path (8–12 weeks)","",""
"5","Set a target score range (not a single number)","",""
"6","Pick a first official test date with an 8–12 week prep block","",""
"7","Reserve a retake window (only if practice data supports upside)","",""
"8","Set a stop rule (hit target range OR stop after 2 official tests if plateau)","",""
"9","Build a weekly cadence (4–5 short sessions + 1 longer timed session)","",""
"10","Schedule 2–4 full practice tests (spaced out)","",""
"11","After each practice test, update your error log + focus areas","",""
"12","Decide score reporting plan (Score Choice / superscoring varies by school)","",""

